-0.44 1 -1.32 -0.048 1.80928 -1.73119 -0.495347 2.49195 -1.78344 -1.13593 
-0.43 1 -1.29 -0.11325 1.83363 -1.63247 -0.656034 2.51576 -1.56834 -1.39716 
-0.42 1 -1.26 -0.177 1.85346 -1.53027 -0.810183 2.52258 -1.3444 -1.63803 
-0.41 1 -1.23 -0.23925 1.86888 -1.42498 -0.957326 2.5129 -1.11368 -1.85672 
-0.4 1 -1.2 -0.3 1.88 -1.317 -1.09704 2.48727 -0.878184 -2.05172 
-0.39 1 -1.17 -0.35925 1.88692 -1.20671 -1.22895 2.44628 -0.639886 -2.22177 
-0.38 1 -1.14 -0.417 1.88974 -1.09448 -1.3527 2.39062 -0.400697 -2.36588 
-0.37 1 -1.11 -0.47325 1.88857 -0.980674 -1.46802 2.32098 -0.162471 -2.48336 
-0.36 1 -1.08 -0.528 1.88352 -0.865651 -1.57463 2.23814 0.0730127 -2.57376 
-0.35 1 -1.05 -0.58125 1.87469 -0.749754 -1.67231 2.14288 0.304053 -2.63688 
-0.34 1 -1.02 -0.633 1.86218 -0.633318 -1.76089 2.03606 0.529033 -2.6728 
-0.33 1 -0.99 -0.68325 1.8461 -0.516669 -1.84022 1.91854 0.74643 -2.68179 
-0.32 1 -0.96 -0.732 1.82656 -0.400123 -1.91019 1.79121 0.954814 -2.66438 
-0.31 1 -0.93 -0.77925 1.80366 -0.283989 -1.97071 1.65498 1.15286 -2.6213 
-0.3 1 -0.9 -0.825 1.7775 -0.168562 -2.02175 1.51079 1.33935 -2.55348 
-0.29 1 -0.87 -0.86925 1.74819 -0.0541331 -2.06329 1.35959 1.51316 -2.46203 
-0.28 1 -0.84 -0.912 1.71584 0.0590208 -2.09536 1.20233 1.6733 -2.34824 
-0.27 1 -0.81 -0.95325 1.68055 0.17063 -2.11801 1.03997 1.81889 -2.21355 
-0.26 1 -0.78 -0.993 1.64242 0.280434 -2.13131 0.873466 1.94914 -2.05955 
-0.25 1 -0.75 -1.03125 1.60156 0.388184 -2.13538 0.703781 2.0634 -1.88794 
-0.24 1 -0.72 -1.068 1.55808 0.493637 -2.13034 0.531865 2.16114 -1.70053 
-0.23 1 -0.69 -1.10325 1.51208 0.596562 -2.11635 0.35866 2.24192 -1.49923 
-0.22 1 -0.66 -1.137 1.46366 0.696738 -2.09361 0.185094 2.30544 -1.28603 
-0.21 1 -0.63 -1.16925 1.41293 0.793952 -2.06232 0.0120806 2.35151 -1.06295 
-0.2 1 -0.6 -1.2 1.36 0.888 -2.02272 -0.159488 2.38003 -0.83209 
-0.19 1 -0.57 -1.22925 1.30497 0.978689 -1.97505 -0.32874 2.39105 -0.595553 
-0.18 1 -0.54 -1.257 1.24794 1.06583 -1.9196 -0.49483 2.38469 -0.35546 
-0.17 1 -0.51 -1.28325 1.18902 1.14926 -1.85665 -0.656939 2.3612 -0.113928 
-0.16 1 -0.48 -1.308 1.12832 1.2288 -1.78652 -0.814278 2.32092 0.126949 
-0.15 1 -0.45 -1.33125 1.06594 1.30431 -1.70955 -0.966091 2.2643 0.365107 
-0.14 1 -0.42 -1.353 1.00198 1.37563 -1.62607 -1.11166 2.19186 0.598535 
-0.13 1 -0.39 -1.37325 0.936553 1.44262 -1.53645 -1.25029 2.10424 0.82528 
-0.12 1 -0.36 -1.392 0.86976 1.50516 -1.44108 -1.38135 2.00215 1.04347 
-0.11 1 -0.33 -1.40925 0.801707 1.56314 -1.34033 -1.50422 1.88637 1.25131 
-0.1 1 -0.3 -1.425 0.7325 1.61644 -1.23462 -1.61834 1.75778 1.44711 
-0.09 1 -0.27 -1.43925 0.662243 1.66496 -1.12435 -1.7232 1.61731 1.62929 
-0.08 1 -0.24 -1.452 0.59104 1.70861 -1.00996 -1.81832 1.46596 1.7964 
-0.07 1 -0.21 -1.46325 0.518998 1.74732 -0.891884 -1.90327 1.30479 1.94709 
-0.06 1 -0.18 -1.473 0.44622 1.78101 -0.770557 -1.97767 1.13491 2.08018 
-0.05 1 -0.15 -1.48125 0.372812 1.80962 -0.646433 -2.04119 0.95748 2.19461 
-0.04 1 -0.12 -1.488 0.29888 1.8331 -0.519969 -2.09355 0.773698 2.28948 
-0.03 1 -0.09 -1.49325 0.224527 1.85141 -0.391626 -2.13452 0.584791 2.36405 
-0.02 1 -0.06 -1.497 0.14986 1.86451 -0.26187 -2.16391 0.392019 2.41774 
-0.01 1 -0.03 -1.49925 0.0749825 1.87238 -0.131171 -2.1816 0.196658 2.45012 
0 1 0 -1.5 -0 1.875 0 -2.1875 -0 2.46094 
0.01 1 0.03 -1.49925 -0.0749825 1.87238 0.131171 -2.1816 -0.196658 2.45012 
0.02 1 0.06 -1.497 -0.14986 1.86451 0.26187 -2.16391 -0.392019 2.41774 
0.03 1 0.09 -1.49325 -0.224527 1.85141 0.391626 -2.13452 -0.584791 2.36405 
0.04 1 0.12 -1.488 -0.29888 1.8331 0.519969 -2.09355 -0.773698 2.28948 
0.05 1 0.15 -1.48125 -0.372812 1.80962 0.646433 -2.04119 -0.95748 2.19461 
0.06 1 0.18 -1.473 -0.44622 1.78101 0.770557 -1.97767 -1.13491 2.08018 
0.07 1 0.21 -1.46325 -0.518998 1.74732 0.891884 -1.90327 -1.30479 1.94709 
0.08 1 0.24 -1.452 -0.59104 1.70861 1.00996 -1.81832 -1.46596 1.7964 
0.09 1 0.27 -1.43925 -0.662243 1.66496 1.12435 -1.7232 -1.61731 1.62929 
0.1 1 0.3 -1.425 -0.7325 1.61644 1.23462 -1.61834 -1.75778 1.44711 
0.11 1 0.33 -1.40925 -0.801707 1.56314 1.34033 -1.50422 -1.88637 1.25131 
0.12 1 0.36 -1.392 -0.86976 1.50516 1.44108 -1.38135 -2.00215 1.04347 
0.13 1 0.39 -1.37325 -0.936553 1.44262 1.53645 -1.25029 -2.10424 0.82528 
0.14 1 0.42 -1.353 -1.00198 1.37563 1.62607 -1.11166 -2.19186 0.598535 
0.15 1 0.45 -1.33125 -1.06594 1.30431 1.70955 -0.966091 -2.2643 0.365107 
0.16 1 0.48 -1.308 -1.12832 1.2288 1.78652 -0.814278 -2.32092 0.126949 
0.17 1 0.51 -1.28325 -1.18902 1.14926 1.85665 -0.656939 -2.3612 -0.113928 
0.18 1 0.54 -1.257 -1.24794 1.06583 1.9196 -0.49483 -2.38469 -0.35546 
0.19 1 0.57 -1.22925 -1.30497 0.978689 1.97505 -0.32874 -2.39105 -0.595553 
0.2 1 0.6 -1.2 -1.36 0.888 2.02272 -0.159488 -2.38003 -0.83209 
0.21 1 0.63 -1.16925 -1.41293 0.793952 2.06232 0.0120806 -2.35151 -1.06295 
0.22 1 0.66 -1.137 -1.46366 0.696738 2.09361 0.185094 -2.30544 -1.28603 
0.23 1 0.69 -1.10325 -1.51208 0.596562 2.11635 0.35866 -2.24192 -1.49923 
0.24 1 0.72 -1.068 -1.55808 0.493637 2.13034 0.531865 -2.16114 -1.70053 
0.25 1 0.75 -1.03125 -1.60156 0.388184 2.13538 0.703781 -2.0634 -1.88794 
0.26 1 0.78 -0.993 -1.64242 0.280434 2.13131 0.873466 -1.94914 -2.05955 
0.27 1 0.81 -0.95325 -1.68055 0.17063 2.11801 1.03997 -1.81889 -2.21355 
0.28 1 0.84 -0.912 -1.71584 0.0590208 2.09536 1.20233 -1.6733 -2.34824 
0.29 1 0.87 -0.86925 -1.74819 -0.0541331 2.06329 1.35959 -1.51316 -2.46203 
0.3 1 0.9 -0.825 -1.7775 -0.168562 2.02175 1.51079 -1.33935 -2.55348 
0.31 1 0.93 -0.77925 -1.80366 -0.283989 1.97071 1.65498 -1.15286 -2.6213 
0.32 1 0.96 -0.732 -1.82656 -0.400123 1.91019 1.79121 -0.954814 -2.66438 
0.33 1 0.99 -0.68325 -1.8461 -0.516669 1.84022 1.91854 -0.74643 -2.68179 
0.34 1 1.02 -0.633 -1.86218 -0.633318 1.76089 2.03606 -0.529033 -2.6728 
0.35 1 1.05 -0.58125 -1.87469 -0.749754 1.67231 2.14288 -0.304053 -2.63688 
0.36 1 1.08 -0.528 -1.88352 -0.865651 1.57463 2.23814 -0.0730127 -2.57376 
0.37 1 1.11 -0.47325 -1.88857 -0.980674 1.46802 2.32098 0.162471 -2.48336 
0.38 1 1.14 -0.417 -1.88974 -1.09448 1.3527 2.39062 0.400697 -2.36588 
0.39 1 1.17 -0.35925 -1.88692 -1.20671 1.22895 2.44628 0.639886 -2.22177 
0.4 1 1.2 -0.3 -1.88 -1.317 1.09704 2.48727 0.878184 -2.05172 
0.41 1 1.23 -0.23925 -1.86888 -1.42498 0.957326 2.5129 1.11368 -1.85672 
0.42 1 1.26 -0.177 -1.85346 -1.53027 0.810183 2.52258 1.3444 -1.63803 
0.43 1 1.29 -0.11325 -1.83363 -1.63247 0.656034 2.51576 1.56834 -1.39716 
0.44 1 1.32 -0.048 -1.80928 -1.73119 0.495347 2.49195 1.78344 -1.13593 
0.45 1 1.35 0.01875 -1.78031 -1.826 0.328631 2.45075 1.98765 -0.856409 
0.46 1 1.38 0.087 -1.74662 -1.9165 0.156444 2.39184 2.17888 -0.560968 
0.47 1 1.41 0.15675 -1.7081 -2.00225 -0.0206101 2.31497 2.35506 -0.252225 
0.48 1 1.44 0.228 -1.66464 -2.08281 -0.201881 2.21999 2.51414 0.066933 
0.49 1 1.47 0.30075 -1.61614 -2.15773 -0.386667 2.10685 2.65409 0.393373 
0.5 1 1.5 0.375 -1.5625 -2.22656 -0.574219 1.97559 2.77295 0.723724 
0.51 1 1.53 0.45075 -1.50361 -2.28883 -0.763735 1.82637 2.8688 1.0544 
0.52 1 1.56 0.528 -1.43936 -2.34405 -0.954363 1.65948 2.93983 1.3816 
0.53 1 1.59 0.60675 -1.36965 -2.39175 -1.1452 1.47531 2.98432 1.70137 
0.54 1 1.62 0.687 -1.29438 -2.43142 -1.33527 1.27439 3.00068 2.00959 
0.55 1 1.65 0.76875 -1.21344 -2.46257 -1.52358 1.05739 2.98745 2.30201 
0.56 1 1.68 0.852 -1.12672 -2.48467 -1.70905 0.825136 2.94336 2.57432 
0.57 1 1.71 0.93675 -1.03412 -2.4972 -1.89054 0.578581 2.86731 2.82213 
0.58 1 1.74 1.023 -0.93554 -2.49963 -2.06688 0.318856 2.75844 3.04106 
0.59 1 1.77 1.11075 -0.830867 -2.49141 -2.23681 0.0472552 2.6161 3.22678 
0.6 1 1.8 1.2 -0.72 -2.472 -2.39904 -0.234752 2.43994 3.37501 
0.61 1 1.83 1.29075 -0.602833 -2.44083 -2.55219 -0.525513 2.22987 3.48167 
0.62 1 1.86 1.383 -0.47926 -2.39732 -2.69483 -0.823183 1.98615 3.54283 
0.63 1 1.89 1.47675 -0.349177 -2.3409 -2.82547 -1.12572 1.70939 3.55488 
0.64 1 1.92 1.572 -0.21248 -2.27097 -2.94255 -1.43087 1.40058 3.51452 
0.65 1 1.95 1.66875 -0.0690625 -2.18694 -3.04445 -1.73617 1.06114 3.41889 
0.66 1 1.98 1.767 0.08118 -2.0882 -3.12948 -2.03892 0.692926 3.26562 
0.67 1 2.01 1.86675 0.238353 -1.97412 -3.19588 -2.33621 0.298305 3.05295 
0.68 1 2.04 1.968 0.40256 -1.84408 -3.24182 -2.62485 -0.119846 2.77978 
0.69 1 2.07 2.07075 0.573908 -1.69745 -3.26541 -2.90144 -0.558083 2.44583 
0.7 1 2.1 2.175 0.7525 -1.53356 -3.26469 -3.16228 -1.01236 2.05169 
0.71 1 2.13 2.28075 0.938442 -1.35178 -3.2376 -3.40344 -1.47798 1.59898 
0.72 1 2.16 2.388 1.13184 -1.15142 -3.18206 -3.62068 -1.94956 1.09044 
0.73 1 2.19 2.49675 1.3328 -0.931818 -3.09586 -3.80949 -2.42101 0.530083 
0.74 1 2.22 2.607 1.54142 -0.692286 -2.97675 -3.96505 -2.88544 -0.0766736 
0.75 1 2.25 2.71875 1.75781 -0.432129 -2.82239 -4.08223 -3.33514 -0.722871 
0.76 1 2.28 2.832 1.98208 -0.150643 -2.63037 -4.15559 -3.76154 -1.39985 
0.77 1 2.31 2.94675 2.21433 0.152885 -2.39821 -4.17937 -4.15516 -2.09708 
0.78 1 2.34 3.063 2.45466 0.479178 -2.12332 -4.14746 -4.50552 -2.80202 
0.79 1 2.37 3.18075 2.70318 0.828969 -1.80307 -4.05339 -4.80115 -3.49987 
0.8 1 2.4 3.3 2.96 1.203 -1.43472 -3.89035 -5.02949 -4.17349 
0.81 1 2.43 3.42075 3.22522 1.60202 -1.01546 -3.65116 -5.17684 -4.80308 
0.82 1 2.46 3.543 3.49894 2.02679 -0.542391 -3.32824 -5.22832 -5.36608 
0.83 1 2.49 3.66675 3.78127 2.47809 -0.0125367 -2.91365 -5.1678 -5.83686 
0.84 1 2.52 3.792 4.07232 2.95668 0.57717 -2.39902 -4.97785 -6.18657 
0.85 1 2.55 3.91875 4.37219 3.46337 1.22988 -1.77557 -4.63965 -6.38286 
0.86 1 2.58 4.047 4.68098 3.99895 1.94883 -1.03412 -4.13296 -6.38961 
0.87 1 2.61 4.17675 4.9988 4.56422 2.73735 -0.165015 -3.43604 -6.16673 
0.88 1 2.64 4.308 5.32576 5.16 3.59886 0.841816 -2.52556 -5.66983 
0.89 1 2.67 4.44075 5.66196 5.78713 4.53686 1.99692 -1.37657 -4.84998 
0.9 1 2.7 4.575 6.0075 6.44644 5.55495 3.3113 0.0375713 -3.65336 
0.91 1 2.73 4.71075 6.36249 7.13877 6.65682 4.79647 1.74532 -2.02102 
0.92 1 2.76 4.848 6.72704 7.86497 7.84626 6.4644 3.77696 0.111502 
0.93 1 2.79 4.98675 7.10125 8.62592 9.12714 8.32761 6.16472 2.81447 
0.94 1 2.82 5.127 7.48522 9.42249 10.5034 10.3991 8.94285 6.16433 
0.95 1 2.85 5.26875 7.87906 10.2556 11.9792 12.6925 12.1477 10.2441 
0.96 1 2.88 5.412 8.28288 11.126 13.5587 15.2217 15.8176 15.1435 
0.97 1 2.91 5.55675 8.69678 12.0348 15.2461 18.0016 19.9935 20.9599 
0.98 1 2.94 5.703 9.12086 12.9827 17.0458 21.0473 24.7185 27.798 
0.99 1 2.97 5.85075 9.55523 13.9708 18.9622 24.3746 30.0379 35.7709 
